system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,SCL,date,h_wrb4,latitude,longitude,profile_id,source_db,.geo
20230518T105621_20230518T105621_T30UXV_000000000000000001fa_0,3193,1776,1092,1340,1310,1939,3547,4065,4548,4565,5,2023-05-18,Dystric Cambisols,48.66723280751955,-0.7176208243116725,438,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230518T105621_20230518T105621_T30UXV_00000000000000000121_0,4237,3921,1088,1500,2178,2480,2610,2788,2894,3065,5,2023-05-18,Eutric Cambisols,49.37343846722754,-1.2002823962852565,183,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230518T105621_20230518T105621_T30UXV_00000000000000000122_0,3626,3227,1001,1306,1776,2034,2262,2461,2610,2670,5,2023-05-18,Eutric Cambisols,49.37970404115264,-0.9803628221626265,184,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230518T105621_20230518T105621_T30UYA_000000000000000000ef_0,2938,2358,1254,1776,2038,2329,2957,3340,3472,3671,5,2023-05-18,Haplic Luvisols,49.705364891593945,0.9932993011780233,125,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230518T105621_20230518T105621_T30UYA_000000000000000000ec_0,1788,1274,611,789,652,1168,1744,1925,2334,1910,5,2023-05-18,Luvic Cambisols,49.69617066540041,0.32886089547803965,122,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230518T105621_20230518T105621_T30UYA_000000000000000000ee_0,4040,3451,1012,1644,1816,2661,2996,3127,3264,3231,5,2023-05-18,Luvic Cambisols,49.702705011305135,0.7717937299950821,124,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230518T105621_20230518T105621_T30UYA_0000000000000000010a_0,4208,3778,1346,2072,2564,2959,3146,3279,3528,3425,5,2023-05-18,Luvic Cambisols,49.56393970113884,1.217982875699953,155,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230518T105621_20230518T105621_T30UYU_00000000000000000085_0,4110,3543,1052,1556,2168,2467,2604,2739,2898,2878,5,2023-05-18,Dystric Cambisols,48.37296665555543,0.05304515271608401,SIM23309,HWSDv2,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230518T105621_20230518T105621_T30UYV_0000000000000000016f_0,3697,2774,1804,2194,2510,2889,3878,4643,4680,4928,5,2023-05-18,Calcaric Cambisols,49.12488144122345,0.5702344231172092,273,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230518T105621_20230518T105621_T30UYV_0000000000000000014c_0,2140,1564,844,1100,1184,1406,1880,2191,2110,2260,5,2023-05-18,Eutric Fluvisols,49.276515471368825,1.2242410066178666,233,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230518T105621_20230518T105621_T30UYV_0000000000000000010a_0,4195,3760,1352,2074,2562,2944,3137,3272,3532,3422,5,2023-05-18,Luvic Cambisols,49.56393970113884,1.217982875699953,155,RMQS1,"{""type"":""MultiPoint"",""coordinates"":[]}"
